Date,Open,High,Low,Close,Adj Close,Volume
21/11/2000,529.51001,531.450012,515.409973,531.450012,531.450012,29314800
22/11/2000,525.5,532.950012,520.609985,522.330017,522.330017,31462000
23/11/2000,515.47998,522.539978,512.409973,514.309998,514.309998,31232000
24/11/2000,518.150024,530.840027,515.320007,530.840027,530.840027,31554800
27/11/2000,542.27002,554.039978,542.27002,554.039978,554.039978,39292000
28/11/2000,544.440002,547.309998,535.960022,536.940002,536.940002,34120900
29/11/2000,522.97998,522.97998,511.929993,516.440002,516.440002,28100000
30/11/2000,518.820007,518.820007,499.519989,509.230011,509.230011,31041700
01/12/2000,490.880005,514.460022,489.529999,514.460022,514.460022,32992000
04/12/2000,520.140015,520.52002,499.720001,501.730011,501.730011,26760600
05/12/2000,505.100006,516.969971,502.940002,516.960022,516.960022,25724000
06/12/2000,535.190002,540.630005,517.869995,517.890015,517.890015,39191800
07/12/2000,517.47998,523.780029,510.859985,523.780029,523.780029,30098000
08/12/2000,523.400024,535.469971,523.400024,534.809998,534.809998,32136400
11/12/2000,543.460022,557.789978,543.460022,554.799988,554.799988,38871700
12/12/2000,556.219971,558.5,541.98999,543.080017,543.080017,32088600
13/12/2000,540.349976,560.159973,539.51001,557.840027,557.840027,30275300
14/12/2000,548.140015,554.890015,540.72998,547.380005,547.380005,29843400
15/12/2000,544.530029,551.289978,533.650024,534,534,29784700
18/12/2000,529.369995,541.780029,529.369995,539.27002,539.27002,25126000
19/12/2000,541.22998,541.25,530.179993,530.799988,530.799988,29017000
20/12/2000,517.369995,525.789978,513.23999,514.210022,514.210022,30429500
21/12/2000,498.600006,515.76001,497.309998,511.899994,511.899994,29029800
22/12/2000,514.539978,518.900024,500.410004,500.600006,500.600006,33269700
26/12/2000,509.089996,509.950012,501.640015,504.619995,504.619995,25289000
02/01/2001,503.309998,521.340027,500.970001,520.950012,520.950012,23101400
03/01/2001,512.73999,524.580017,510.700012,521.429993,521.429993,32458400
04/01/2001,551.530029,567.159973,550.909973,558.02002,558.02002,44454000
05/01/2001,559.539978,581.409973,555.400024,580.849976,580.849976,57828600
08/01/2001,573.719971,587.909973,572.47998,586.650024,586.650024,55864500
09/01/2001,583.849976,589.919983,572.549988,589.919983,589.919983,55896700
10/01/2001,586.630005,593.859985,560.809998,560.809998,560.809998,64237800
11/01/2001,568.26001,570.570007,557.859985,561.789978,561.789978,51878800
12/01/2001,578.950012,601.090027,578.950012,587.869995,587.869995,71378700
15/01/2001,595.059998,608.219971,588.869995,599,599,61196100
16/01/2001,600.679993,608.51001,588.419983,603.419983,603.419983,60627800
17/01/2001,600.75,610.469971,587.26001,595.830017,595.830017,50166000
18/01/2001,597.150024,612.900024,596.659973,604.049988,604.049988,45376400
19/01/2001,622.25,622.25,613.659973,619.780029,619.780029,43245400
22/01/2001,622.52002,627.450012,614.080017,627.450012,627.450012,48495300
26/01/2001,623.679993,624,591.72998,591.72998,591.72998,44373600
29/01/2001,592.75,598.109985,587.419983,596.539978,596.539978,46115400
30/01/2001,601.289978,608.049988,591.340027,591.340027,591.340027,49867300
31/01/2001,594.76001,617.909973,593.539978,617.909973,617.909973,44212700
01/02/2001,606.48999,620.780029,605.419983,612.299988,612.299988,39600600
02/02/2001,614.51001,616.669983,602.130005,608.47998,608.47998,34528900
05/02/2001,594.909973,595.469971,575.580017,579.159973,579.159973,35407400
06/02/2001,577.25,587.22998,573.52002,586.580017,586.580017,32630200
07/02/2001,584.929993,584.929993,574.440002,576.190002,576.190002,32272000
08/02/2001,577.119995,591.659973,577.119995,591.570007,591.570007,28224300
09/02/2001,588.359985,598.969971,581.48999,595.469971,595.469971,37456400
12/02/2001,587.619995,602.900024,584.369995,599.200012,599.200012,31892300
13/02/2001,603.150024,605.349976,594.409973,598.780029,598.780029,33673000
14/02/2001,594.929993,607.590027,592.320007,603.830017,603.830017,41323400
15/02/2001,611.26001,612.26001,602.409973,603.630005,603.630005,35976400
16/02/2001,605.469971,611.539978,604.27002,604.919983,604.919983,31952500
19/02/2001,595.659973,597.76001,588.909973,596.669983,596.669983,31428000
20/02/2001,595.77002,609.359985,593.169983,608.73999,608.73999,49856800
21/02/2001,605.48999,605.48999,594.450012,594.530029,594.530029,43914800
22/02/2001,589.299988,589.299988,571.719971,583.409973,583.409973,43489100
23/02/2001,579.969971,590.48999,579.450012,583.52002,583.52002,40076500
26/02/2001,585.159973,588.919983,580.590027,585.320007,585.320007,44898600
27/02/2001,590.140015,597.119995,576.659973,577.570007,577.570007,47576100
28/02/2001,571.640015,581.440002,571.039978,578.099976,578.099976,35125700
02/03/2001,574.609985,574.609985,557.200012,559.440002,559.440002,32968700
05/03/2001,549.27002,565.380005,549.27002,565.380005,565.380005,30988100
06/03/2001,569.140015,574.900024,564.119995,568.150024,568.150024,48501800
07/03/2001,574.52002,576.940002,566.080017,568.640015,568.640015,36405800
08/03/2001,569.789978,579.280029,568.090027,579.280029,579.280029,34937500
09/03/2001,572.109985,573.669983,562.530029,565.76001,565.76001,31600300
12/03/2001,554.359985,556.840027,545.049988,545.049988,545.049988,36093900
13/03/2001,527.940002,533.25,522.650024,527.969971,527.969971,35814100
14/03/2001,541.419983,545,539.119995,543.280029,543.280029,41518800
15/03/2001,523.280029,542.299988,522.73999,541.830017,541.830017,38519100
16/03/2001,541.309998,543.809998,536.700012,538.669983,538.669983,33261500
19/03/2001,531.840027,541.200012,528.880005,534.330017,534.330017,25379900
20/03/2001,542.130005,542.789978,531.390015,531.590027,531.590027,27952900
21/03/2001,520.710022,532.590027,520.409973,532.590027,532.590027,36474200
22/03/2001,530.880005,532.25,524.25,527.049988,527.049988,40249900
23/03/2001,532.01001,539.190002,531.630005,537.969971,537.969971,36437900
26/03/2001,544.75,550.26001,542.090027,545.97998,545.97998,43327500
27/03/2001,546.27002,546.27002,532.900024,532.900024,532.900024,43327300
28/03/2001,541.429993,541.710022,528.789978,528.789978,528.789978,40264200
29/03/2001,522.98999,531.849976,521.039978,523.799988,523.799988,48416800
30/03/2001,524.630005,528.599976,516.969971,523.219971,523.219971,41722500
02/04/2001,520.559998,522.090027,512.400024,515.200012,515.200012,23182000
03/04/2001,505.380005,507.670013,498.269989,503.26001,503.26001,27755200
04/04/2001,496.029999,501.320007,493.570007,493.690002,493.690002,31364000
06/04/2001,518.059998,518.200012,504.540009,506.220001,506.220001,37358600
09/04/2001,503.070007,506.459991,497.459991,497.459991,497.459991,28385800
10/04/2001,500.970001,501.649994,491.209991,491.209991,491.209991,26193400
11/04/2001,505.23999,508.75,501.630005,507.529999,507.529999,35428000
12/04/2001,516.72998,519.47998,511.730011,514.210022,514.210022,40894000
13/04/2001,518.640015,518.650024,512.349976,516.099976,516.099976,34689100
16/04/2001,514.549988,518.26001,508.350006,508.350006,508.350006,32865300
17/04/2001,506.920013,516.119995,505.920013,513.969971,513.969971,31953400
18/04/2001,523.26001,540,520.309998,540,540,49486300
19/04/2001,567.48999,581.630005,558.969971,563.309998,563.309998,56158500
20/04/2001,567.659973,572.080017,556.219971,556.289978,556.289978,47564100
23/04/2001,559.090027,566.469971,556.52002,560.940002,560.940002,42036900
